barcode,author_last_name,year,checkouts,division,n_pages
17362179,Wallace,2014,0,ART,53
12675856,Faegre,1971,11,MNS,86
14314348,Fagan,1997,8,LL,231
14816102,Fagan,2000,0,PRPL,67
14816268,Fagen,2000,3,HSS,63
17561481,Failla,2017,0,ART,42
14813505,Aronoff,2000,4,LL,79
14813489,Arenson,2000,5,PRPL,40
15163496,Arellano,2002,0,HSS,129
15148588,Armstead,2002,2,PRPL,55
15310030,Arbuckle,2003,1,LL,107
16125916,Aquino-Roithamyr,2008,2,HSS,99
16677619,Arata,2011,2,MNS,65
16825796,Arshad,2012,3,LL,74
16921348,Artenian,2015,1,LL,157
17258146,Archibald Shulman,2016,2,HSS,98
17561143,Archer,2017,0,HSS,110
17663436,Arellono,2017,1,MNS,39
17697053,Aragon,2018,0,PRPL,37
17789769,Arce,2019,0,MNS,46
17419391,Aris,2019,0,PRPL,31
17696816,Arai,1918,0,MNS,28
11747615,Arend,1950,0,MNS,46
11741436,Artenian,1972,7,LL,53
11741113,Arney,1982,0,PRPL,101
11741030,Arndt,1982,2,ART,57
11741253,Arthurs,1986,0,ART,27
12188496,Arenson,1989,0,ART,23
11741279,Aronson,1989,6,ART,108
17160359,Arroyo,2013,0,ART,60
17255934,Appleton,2014,0,HSS,71
12607487,ketel,1960,0,HSS,209
12651808,davis,1971,1,HSS,191
17114380,bastek,2013,4,LL,86
13107834,davis,1992,2,MNS,44
17430315,davis,2015,1,HSS,86
11743432,bates,1943,0,HSS,65
12968947,davis,1994,1,PRPL,71
12667887,dawdy,1988,3,HSS,95
17433459,grace,2015,0,MNS,65
14950828,bates,2001,1,LL,263
15669872,batra,2006,0,MNS,54
16544751,grahn,2011,2,MNS,75
11761962,beadling,1987,0,MNS,64
15493992,grande,2004,2,HSS,89
15586670,grasmick,2005,5,LL,110
15316367,gray,2003,0,LL,75
17794058,kim,2019,0,MNS,38
15900855,khalili,2007,0,MNS,77
15861131,kim,2007,0,MNS,45
16144073,ketskarova,2008,3,LL,67
14319966,Hansen,1997,2,LL,87
17707035,Hanley,1985,0,MNS,89
15688948,Hart,1969,0,HSS,65
13917117,Harris,1983,0,MNS,38
17259755,Harris,2016,0,LL,55
175629968,Hausdorff,2017,0,HSS,53
12675559,Haugen,1986,2,MNS,43
12854329,Harvey,1996,1,LL,66
14447296,Heath-Stiefel,1998,1,HSS,69
16516031,Hawkins,2010,0,PRPL,46
12606414,Johannsen,1976,2,HSS,97
12669800,Jesser,1981,0,MNS,43
13997721,Jeschke,1995,3,PRPL,153
12606489,Jenny,1985,2,HSS,162
17355355,Jemison,2014,1,MNS,70
13932595,Jones,1981,1,MNS,46
15861503,Johnson,2007,2,LL,57
126669735,Johnson-Muller,1969,3,MNS,25
15695430,johnson,1945,0,MNS,48
14054654,Johnson,1946,0,HSS,173
17566272,Pedrotti,2017,1,HSS,43
17795642,Padula,2019,0,MNS,32
15588148,Perdue,2005,1,HSS,79
16226516,Parks,2010,0,HSS,47
17422171,Perling,2014,0,LL,103
15271562,Zseleczky,2002,0,LL,68
14906291,Ziminsky,2000,3,LL,70
15498090,Zimmerman,2004,2,HSS,106
14004535,Zohur,1995,2,MNS,96
14743124,Zelensky,1999,9,HSS,56
12968772,Corrigan,1994,10,LL,68
16892077,Churchill,1950,0,HSS,126
14770028,Chalier,2000,7,HSS,147
12651519,Colvin,1985,0,HSS,95
14447262,Cadigan,1998,1,LL,104
12638631,Goldman,1980,0,MNS,140
14120703,Griffin,1996,5,PRPL,75
14391569,Goodell,1998,2,LL,88
12643334,Goodwin,1963,3,PRPL,101
12854592,Guetschow,1996,0,HSS,66
17442229,Upshaw,2015,0,HSS,79
12111134,Uhlinger,1972,0,HSS,48
16468910,Uhrig-Fox,2010,2,HSS,34
15271257,U,2002,1,PRPL,45
12111043,uhr,1934,1,HSS,203
17797770,Yearwood,2019,0,MNS,52
17442146,Wang,2015,0,MNS,57
12680716,Selzer,1965,0,MNS,27
17262544,Satten-Lopez,2016,0,LL,56
15168677,Warren,2002,3,PRPL,134
16995475,Robins,2012,3,HSS,72
17796053,Santos-Vallejo,2019,0,PRPL,47
15724388,Zhu,2006,2,LL,72
